,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,MAE,MSE,RMS,Departamento,aux_1,aux_2,yearly,yearly_lower,yearly_upper
5,2016-02-29,1132.5906106505424,1791.7683424836566,3189.8356454422774,1132.5906106505424,1132.5906106505424,1355.2794545498862,1355.2794545498862,1355.2794545498862,1355.2794545498862,1355.2794545498862,1355.2794545498862,0.0,0.0,0.0,2487.8700652004286,2606,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
6,2016-03-14,976.9468984684255,1669.945890018936,3045.628140808981,976.9468984684255,976.9468984684255,1355.279454540085,1355.279454540085,1355.279454540085,1355.279454540085,1355.279454540085,1355.279454540085,0.0,0.0,0.0,2332.2263530085106,2052,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
7,2016-03-21,899.1250423401351,1586.878466406531,2960.850881906903,899.1250423401351,899.1250423401351,1355.2794545554407,1355.2794545554407,1355.2794545554407,1355.2794545554407,1355.2794545554407,1355.2794545554407,0.0,0.0,0.0,2254.404496895576,1698,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
8,2016-03-28,821.3031861033194,1528.7861109965825,2906.4792197425604,821.3031861033194,821.3031861033194,1355.2794545428558,1355.2794545428558,1355.2794545428558,1355.2794545428558,1355.2794545428558,1355.2794545428558,0.0,0.0,0.0,2176.582640646175,2759,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
9,2016-04-01,776.8335539836137,1170.8002638822734,2533.8182358371428,776.8335539836137,776.8335539836137,1037.7175381439852,1037.7175381439852,1037.7175381439852,1037.7175381439852,1037.7175381439852,1037.7175381439852,0.0,0.0,0.0,1814.5510921275988,2170,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
10,2016-04-04,743.4813298512196,1463.7277484966103,2789.741146633744,743.4813298512196,743.4813298512196,1355.2794545456393,1355.2794545456393,1355.2794545456393,1355.2794545456393,1355.2794545456393,1355.2794545456393,0.0,0.0,0.0,2098.760784396859,2579,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
11,2016-04-07,710.1291056968065,-925.9338614546915,472.96179911454016,710.1291056968065,710.1291056968065,-940.7110280163585,-940.7110280163585,-940.7110280163585,-940.7110280163585,-940.7110280163585,-940.7110280163585,0.0,0.0,0.0,-230.58192231955195,772,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
12,2016-04-18,587.8376169521547,1223.9606367662234,2617.8613875542032,587.8376169521547,587.8376169521547,1355.2794545484096,1355.2794545484096,1355.2794545484096,1355.2794545484096,1355.2794545484096,1355.2794545484096,0.0,0.0,0.0,1943.1170715005642,2394,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
13,2016-04-25,510.0157583134173,1151.4520910723952,2531.1653328907414,510.0157583134173,510.0157583134173,1355.2794545497948,1355.2794545497948,1355.2794545497948,1355.2794545497948,1355.2794545497948,1355.2794545497948,0.0,0.0,0.0,1865.295212863212,2277,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
14,2016-05-09,354.37204086626537,1030.8357675097777,2436.1773737944964,354.37204086626537,354.37204086626537,1355.2794545539641,1355.2794545539641,1355.2794545539641,1355.2794545539641,1355.2794545539641,1355.2794545539641,0.0,0.0,0.0,1709.6514954202294,156,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
15,2016-05-16,276.5501821358549,911.5885855884275,2371.9293713006896,276.5501821358549,276.5501821358549,1355.2794545553488,1355.2794545553488,1355.2794545553488,1355.2794545553488,1355.2794545553488,1355.2794545553488,0.0,0.0,0.0,1631.8296366912036,2187,3965.50472756363,26781321.556771863,5175.067299733585,GUAVIARE,0,1,,,
